,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Only Prefill Measurement,,,,,,,,,,Prefill+Generation Measurement,,,,,,,,,,Only Prefill Roofline,,,,,,Prefill+Generation Roofline,,,,,,,,AllGather1,,,,,AllGather2,,,,,AllGather3,,,,,AllGather4,,,,,AllReduce1,,,,,AllReduce2,,,,,AllGather1,,,,,AllGather2,,,,,AllGather3,,,,,AllGather4,,,,,AllReduce1,,,,,AllReduce2,,,,
,,Layer,Dmodel,FFN Hidden,Card Num,batch,Input_Length,Out_Length,Total Time,AllGather,AllReduce,GemmOp,DecOptMHA,MHA-MV,MHA-Soft,Binary,LayerNom,Rotary,Total Time,AllGather,AllReduce,GemmOp,DecOptMHA,MHA-MV,MHA-Soft,Binary,LayerNom,Rotary,Comp-P,Error,AllGather,Error,AllReduce,Error,Comp-GP,Error,Comp-GA,Error,AllGather,Error,AllReduce,Error,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time
,,40,5120,27392,2,1,1024,1024,,,,,,,,,,,,,,,,,,,,,,,,,0.038836,#DIV/0!,,,,,,,0.9437818,#DIV/0!,,,,,,,,,,,,,,,,,,,,,10485760,10485760,40,485.45,0.019418,10485760,10485760,40,485.45,0.019418,,,,,,,,,,,,,,,,,,,,,10240,10240,40920,11.0575,0.4524729,10240,10240,40920,11.0575,0.4524729
,,40,5120,27392,2,1,1500,548,,,,,,,,,,,,,,,,,,,,,,,,,0.055657,#DIV/0!,,,,,,,0.5395332,#DIV/0!,,,,,,,,,,,,,,,,,,,,,15360000,15360000,40,695.7125,0.0278285,15360000,15360000,40,695.7125,0.0278285,,,,,,,,,,,,,,,,,,,,,10240,10240,21880,11.0575,0.2419381,10240,10240,21880,11.0575,0.2419381
,,40,5120,27392,2,2,32,32,,,,,,,,,,,,,,,,,,,,,,,,,0.0042368,#DIV/0!,,,,,,,0.0345052,#DIV/0!,,,,,,,,,,,,,,,,,,,,,655360,655360,40,52.96,0.0021184,655360,655360,40,52.96,0.0021184,,,,,,,,,,,,,,,,,,,,,20480,20480,1240,12.205,0.0151342,20480,20480,1240,12.205,0.0151342
,,40,5120,27392,2,2,256,256,,,,,,,,,,,,,,,,,,,,,,,,,0.020314,#DIV/0!,,,,,,,0.269296,#DIV/0!,,,,,,,,,,,,,,,,,,,,,5242880,5242880,40,253.925,0.010157,5242880,5242880,40,253.925,0.010157,,,,,,,,,,,,,,,,,,,,,20480,20480,10200,12.205,0.124491,20480,20480,10200,12.205,0.124491
,,40,5120,27392,2,2,1024,1024,,,,,,,,,,,,,,,,,,,,,,,,,0.076166,#DIV/0!,,,,,,,1.0750232,#DIV/0!,,,,,,,,,,,,,,,,,,,,,20971520,20971520,40,952.075,0.038083,20971520,20971520,40,952.075,0.038083,,,,,,,,,,,,,,,,,,,,,20480,20480,40920,12.205,0.4994286,20480,20480,40920,12.205,0.4994286
,,40,5120,27392,2,2,1500,548,,,,,,,,,,,,,,,,,,,,,,,,,0.1096955,#DIV/0!,,,,,,,0.6437863,#DIV/0!,,,,,,,,,,,,,,,,,,,,,30720000,30720000,40,1371.19375,0.05484775,30720000,30720000,40,1371.19375,0.05484775,,,,,,,,,,,,,,,,,,,,,20480,20480,21880,12.205,0.2670454,20480,20480,21880,12.205,0.2670454
,,40,5120,27392,2,4,32,32,,,,,,,,,,,,,,,,,,,,,,,,,0.006423,#DIV/0!,,,,,,,0.0413042,#DIV/0!,,,,,,,,,,,,,,,,,,,,,1310720,1310720,40,80.2875,0.0032115,1310720,1310720,40,80.2875,0.0032115,,,,,,,,,,,,,,,,,,,,,40960,40960,1240,14.065,0.0174406,40960,40960,1240,14.065,0.0174406
,,40,5120,27392,2,4,256,256,,,,,,,,,,,,,,,,,,,,,,,,,0.038836,#DIV/0!,,,,,,,0.325762,#DIV/0!,,,,,,,,,,,,,,,,,,,,,10485760,10485760,40,485.45,0.019418,10485760,10485760,40,485.45,0.019418,,,,,,,,,,,,,,,,,,,,,40960,40960,10200,14.065,0.143463,40960,40960,10200,14.065,0.143463
,,40,5120,27392,2,4,1024,1024,,,,,,,,,,,,,,,,,,,,,,,,,0.150658,#DIV/0!,,,,,,,1.3017376,#DIV/0!,,,,,,,,,,,,,,,,,,,,,41943040,41943040,40,1883.225,0.075329,41943040,41943040,40,1883.225,0.075329,,,,,,,,,,,,,,,,,,,,,40960,40960,40920,14.065,0.5755398,40960,40960,40920,14.065,0.5755398
,,40,5120,27392,2,4,1500,548,,,,,,,,,,,,,,,,,,,,,,,,,0.2184765,#DIV/0!,,,,,,,0.8339609,#DIV/0!,,,,,,,,,,,,,,,,,,,,,61440000,61440000,40,2730.95625,0.10923825,61440000,61440000,40,2730.95625,0.10923825,,,,,,,,,,,,,,,,,,,,,40960,40960,21880,14.065,0.3077422,40960,40960,21880,14.065,0.3077422
